"Net","Regist","anillador","Codigo","No_anillo","No_anillo.","Anillo.color","Codigo.especie","FAMILY","Genus","species","spp","Edad","Codigo.fechado","SEXO..M.H.D.","Codigo.Sexado","SEX.MOLEC","MUSCULO","PROCLO","PARINC","GRASA","MUDA.CORP","MUDA.VUEL","MUDA.COLA","DESG.VUEL","PLUMJUV","ALA","COLA","CULMEN","APERTURA","TARSO","PESO","COJO","CPIEL","CPATAS","ECTOPARASITO","SANGRE","H1","H2","H3","H4","RED","FECHA","Year.x","ECTO.ROJO","Dondectos","Cuantosectos","OBSERVACIONES","CREST","Specific.Habitat","general.habitat","Field.Site","REGION","PATCH.SIZE","Netline","Foragero","SAMPLE.NUMBER","Categories","lon","lat","ele","Net.number","Year.y"
"13_Var Blanco_2010","4529","MW","N","A00542","A00542#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","A","P","D","-","","3","N","N","N","A","N","N","I","N","65","68","8.2","15.2","15.6","12.28","Mo","Go","G","1","-","1","0","0","5","13","7-Dec-10",2010,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","S-SI-B","","MOLTER",-73.55829368,-3.91612038,123.1737061,"13",2010
"13_Var Blanco_2010","4535","JU","N","E00457","E00457#","NCR","NECH","PIPRIDAE","Neopelma","chrysocephalum","Neopelma chrysocephalum","A","O","D","-","M","3","N","N","F","M","A","A","I","N","71","55","8.6","17","13.9","15.86","Cr","A G","G D","2","2","1","1","4","1","13","7-Dec-10",2010,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","S-FR-F","","",-73.55829368,-3.91612038,123.1737061,"13",2010
"13_Var Blanco_2010","4472","KQ","N","E00446","E00446#","#NAME?","TASU","THRAUPIDAE","Tachyphonus","surinamus","Tachyphonus surinamus","A","P","H","P","","2","N","A","N","N","N","N","L","N","75","72","12.5","18.5","19.4","20.29","Mo","Go","Go","1","1","1","6","2","9","13","5-Dec-10",2010,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","U-SO-F","","",-73.55829368,-3.91612038,123.1737061,"13",2010
"13_Var Blanco_2010","4484","JU","R","A00522","A00522#","#NAME?","MYAX","THAMNOPHILIDAE ","Myrmotherula","axillaris","Myrmotherula axillaris",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","6-Dec-10",2010,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","U-SI-F","","",-73.55829368,-3.91612038,123.1737061,"13",2010
"13_Var Blanco_2010","4471","OT","N","A00520","A00520#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","A","I","D","-","","4","-","P","-","A","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","13","5-Dec-10",2010,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","S-SI-B","","MOLTER",-73.55829368,-3.91612038,123.1737061,"13",2010
"13_Var Blanco_2010","4524","MW","P","-","-#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","7-Dec-10",2010,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","S-SI-B","","",-73.55829368,-3.91612038,123.1737061,"13",2010
"13_Var Blanco_2010","4483","JU","R","A00497","A00497#","NDD","MYHX","THAMNOPHILIDAE ","Myrmotherula","hauxwelli","Myrmotherula hauxwelli",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","6-Dec-10",2010,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","S-SI-F","","",-73.55829368,-3.91612038,123.1737061,"13",2010
"13_Var Blanco_2011","6874","JU","N","E00791","E00791#","#NAME?","COTO","TYRANNIDAE ","Corythopis","torquatus","Corythopis torquatus","A","P","D","-","","2","N","P","N","N","N","N","L","-","64","54","10.7","19.4","26.6","15.55","Mo","Go","G","1","1","0","8","2","5","13","4-Dec-11",2011,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","G-SI-G","","",-73.55834909,-3.91612608,130.3835449,"13",2011
"13_Var Blanco_2011","6883","GF","N","C0078","C0078#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","A","-","D","-","","3","N","N","N","N","N","N","N","-","66","62","8.4","15.6","16.6","18.53","Mo","G","Gc","1","1","1","0","0","0","13","4-Dec-11",2011,"","","","POOP",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","S-SI-B","","QUIESCENT",-73.55834909,-3.91612608,130.3835449,"13",2011
"13_Var Blanco_2011","6871","JU","N","C0076","C0076#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","A","-","D","-","","4","N","N","N","N","N","N","I","-","65","67","9.3","16.7","15","13.48","Mo","Go","G","-","1","0","8","0","7","13","4-Dec-11",2011,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","S-SI-B","","QUIESCENT",-73.55834909,-3.91612608,130.3835449,"13",2011
